Types of Transaction,Month,Year,Volume,Amount,Type of Transaction,,,,
Interbank,Jan,2016,42925.00,10076051189004.10,BSP,,,,
Interbank,Feb,2016,43437.00,10178634047152.00,BSP,,,,
Interbank,Mar,2016,48952.00,12993100007454.50,BSP,,,,
Interbank,Apr,2016,46201.00,11871505485147.00,BSP,,,,
Interbank,May,2016,47436.00,11680295532139.50,BSP,,,,
Interbank,Jun,2016,50054.00,22741418161485.90,BSP,,,,
Interbank,Jul,2016,46777.00,19823195565882.90,BSP,,,,
Interbank,Aug,2016,49090.00,19766111299267.80,BSP,,,,
Interbank,Sep,2016,49674.00,17369962322777.40,BSP,,,,
Interbank,Oct,2016,46506.00,14210077123256.20,BSP,,,,
Interbank,Nov,2016,47892.00,11582323631784.40,BSP,,,,
Interbank,Dec,2016,50899.00,7630120645307.96,BSP,,,,
Interbank,Jan,2017,49224.00,6262892017201.96,BSP,,,,
Interbank,Feb,2017,47050.00,4877233842923.61,BSP,,,,
Interbank,Mar,2017,54325.00,5241626750886.52,BSP,,,,
Interbank,Apr,2017,42631.00,4127365508610.38,BSP,,,,
Interbank,May,2017,53562.00,4408499297698.56,BSP,,,,
Interbank,Jun,2017,49194.00,4657555139727.78,BSP,,,,
Interbank,Jul,2017,51268.00,3681874250889.67,BSP,,,,
Interbank,Aug,2017,51596.00,2959637810507.22,BSP,,,,
Interbank,Sep,2017,47833.00,2202679261081.74,BSP,,,,
Interbank,Oct,2017,50018.00,2412465710165.97,BSP,,,,
Interbank,Nov,2017,48982.00,2409993007745.39,BSP,,,,
Interbank,Dec,2017,54073.00,3312495385171.42,BSP,,,,
Interbank,Jan,2018,52760.00,3129197446697.82,BSP,,,,
Interbank,Feb,2018,50715.00,3172063151335.16,BSP,,,,
Interbank,Mar,2018,53939.00,3131603325664.23,BSP,,,,
Interbank,Apr,2018,54522.00,3806214023624.54,BSP,,,,
Interbank,May,2018,55732.00,3734599846525.94,BSP,,,,
Interbank,Jun,2018,51552.00,3003980587075.22,BSP,,,,
Interbank,Jul,2018,52925.00,2956153297199.88,BSP,,,,
Interbank,Aug,2018,54136.00,2998287571523.11,BSP,,,,
Interbank,Sep,2018,52507.00,3336686526096.35,BSP,,,,
Interbank,Oct,2018,61277.00,4020000000000.00,BSP,,,,
Interbank,Nov,2018,53610.00,3440000000000.00,BSP,,,,
Interbank,Dec,2018,55081.00,3550000000000.00,BSP,,,,
Interbank,Jan,2019,56965.00,3961901.35,BSP,,,,
Interbank,Feb,2019,49726.00,3365799.85,BSP,,,,
Interbank,Mar,2019,58115.00,4217887.74,BSP,,,,
Interbank,Apr,2019,54015.00,4151327.54,BSP,,,,
Interbank,May,2019,57679.00,4477183.25,BSP,,,,
 PesoNet Transaction ,Jan,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Feb,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Mar,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Apr,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,May,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Jun,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Jul,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Aug,2016,0.00,0.00,BSP,,,,
 PesoNet Transaction ,Sep,2016,0.00,0.00,BSP,,,,
